Date,DEQ,DEQ_Inv,Bench,SPX,SPXT,BE500,BE500T
22.05.1998,0,0,0,-0.00375,-0.00374,-0.01448,-0.01435
25.05.1998,0,0,0,0,0,0.011707,0.011716
26.05.1998,0,0,0,-0.01492,-0.01491,0.003011,0.003331
27.05.1998,0,0,0,-0.00164,-0.0015,-0.01926,-0.01903
28.05.1998,0,0,0,0.004905,0.005035,-0.00254,-0.00095
29.05.1998,0,0,0,-0.0062,-0.00617,0.005793,0.005816
01.06.1998,0,0,0,0.000147,0.00018,0.014078,0.014318
02.06.1998,0,0,0,0.002051,0.002056,-0.01336,-0.01316
03.06.1998,0,0,0,-0.00964,-0.00942,0.004616,0.004829
04.06.1998,0,0,0,0.011113,0.011119,-0.00552,-0.00538
05.06.1998,0,0,0,0.017232,0.017267,0.014551,0.0151
08.06.1998,0,0,0,0.001668,0.001722,0.010066,0.010512
09.06.1998,0,0,0,0.002408,0.00243,-0.0035,-0.0035
10.06.1998,0,0,0,-0.0055,-0.00544,-0.00028,-0.00019
11.06.1998,0,0,0,-0.01604,-0.01577,-0.01294,-0.01274
12.06.1998,0,0,0,0.003884,0.0039,-0.01778,-0.01766
15.06.1998,0,0,0,-0.02007,-0.02006,-0.01389,-0.01363
16.06.1998,0,0,0,0.009776,0.009779,0.004342,0.004342
17.06.1998,0,0,0,0.017789,0.017827,0.019858,0.020226
18.06.1998,0,0,0,-0.00067,-0.00063,-0.0081,-0.0078
19.06.1998,0,0,0,-0.00518,-0.00518,-0.00603,-0.00601
22.06.1998,0,0,0,0.002323,0.002342,-0.00553,-0.00553
23.06.1998,0,0,0,0.014649,0.01465,0.012046,0.012047
24.06.1998,0,0,0,0.01189,0.011923,0.005324,0.005333
25.06.1998,0,0,0,-0.00318,-0.00318,0.013823,0.013834
26.06.1998,0,0,0,0.003465,0.003629,0.000943,0.000974
29.06.1998,0,0,0,0.004657,0.004666,0.006951,0.007118
30.06.1998,0,0,0,-0.00409,-0.00401,-0.00591,-0.00581
01.07.1998,0,0,0,0.012899,0.012933,0.014769,0.01508
02.07.1998,0,0,0,-0.00186,-0.00186,0.004813,0.004863
03.07.1998,0,0,0,0,0,0.005846,0.005902
06.07.1998,0,0,0,0.009472,0.009617,0,0
07.07.1998,0,0,0,-0.00231,-0.0023,0.004351,0.004357
08.07.1998,0,0,0,0.010099,0.010353,0.00506,0.00506
09.07.1998,0,0,0,-0.00673,-0.00671,-0.00401,-0.00395
10.07.1998,0,0,0,0.004968,0.004969,-0.0066,-0.00658
13.07.1998,0,0,0,0.000738,0.00078,0.00367,0.00375
14.07.1998,0,0,0,0.010577,0.010591,0.011834,0.011869
15.07.1998,0,0,0,-0.00236,-0.00235,0.006764,0.006847
16.07.1998,0,0,0,0.007784,0.007802,-0.00383,-0.00383
17.07.1998,0,0,0,0.002328,0.002328,0.010368,0.010378
20.07.1998,0,0,0,-0.00224,-0.00223,0.004677,0.004983
21.07.1998,0,0,0,-0.0162,-0.0162,-0.00539,-0.00538
22.07.1998,0,0,0,-0.00085,-0.00078,-0.01513,-0.01513
23.07.1998,0,0,0,-0.02112,-0.02111,-0.00395,-0.00395
24.07.1998,0,0,0,0.000921,0.000921,-0.00786,-0.00786
27.07.1998,0,0,0,0.005655,0.005656,-0.01475,-0.01468
28.07.1998,0,0,0,-0.01496,-0.01496,-0.00387,-0.00387
29.07.1998,0,0,0,-0.00446,-0.00429,-0.0014,-0.0014
30.07.1998,0,0,0,0.015643,0.015778,0.01127,0.01127
