Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll
08.07.2015,33382836.24,31945250.92,0.956936394,31982517.51,0.958052733,-0.01585653,-0.016096732,-0.015972624
09.07.2015,33741360.42,32301547.01,0.957327938,32340478.97,0.958481773,0.010806449,0.011222847,0.011261841
10.07.2015,33990491.29,32565546.35,0.958078131,32606157.65,0.959272915,0.00735522,0.008143198,0.008185322
13.07.2015,34730746.44,33285597.52,0.958389926,33331295.57,0.959705707,0.021790325,0.02215607,0.02228448
14.07.2015,34906597.53,33460249.56,0.958565198,33505947.61,0.95987435,0.005080387,0.00526493,0.005257711
15.07.2015,34924504.18,33469553.58,0.958340122,33518673.05,0.959746569,0.000457681,0.000335785,0.000437441
16.07.2015,35389834.32,33928959.63,0.958720499,33979851.4,0.960158533,0.013573051,0.014158652,0.014190778
17.07.2015,35368342.61,33907303.86,0.958690777,33960489.41,0.960194539,-0.00064945,-0.000682427,-0.000627823
20.07.2015,35340467.41,33879457.92,0.958659022,33937792.23,0.96030966,-0.000810725,-0.000844731,-0.000691798
21.07.2015,35073773.8,33613034.48,0.958352377,33673100.46,0.960064938,-0.007489649,-0.007805168,-0.007740727
22.07.2015,34829853.61,33368986.18,0.958057032,33432356.17,0.959876448,-0.0069891,-0.007296837,-0.007185701
23.07.2015,34387168.51,31849652.29,0.926207468,31915619.07,0.928125823,-0.011278427,-0.011762172,-0.011689664
24.07.2015,33898645.94,31388110.45,0.925939948,31455744.35,0.927935128,-0.013690436,-0.014775204,-0.01469243
27.07.2015,33257462.63,30750395.28,0.924616397,30823007.26,0.926799726,-0.01882146,-0.020189566,-0.019987899
28.07.2015,33709458.16,31189584.62,0.925247284,31263868.45,0.927450934,0.013632348,0.014661136,0.014680838
29.07.2015,34193153.44,31515296.78,0.921684419,31591281.02,0.923906626,0.009827962,0.010573844,0.010603109
30.07.2015,34551070.73,31868360.71,0.922355228,31946072.93,0.924604426,0.010551237,0.011325926,0.011353383
31.07.2015,34345441.88,31666952.24,0.922013243,31749154.07,0.924406627,-0.006126945,-0.006478819,-0.006322522
03.08.2015,34389384.21,31713586.67,0.922191176,31800882.91,0.924729641,0.00133283,0.001344426,0.001501404
04.08.2015,34431582.73,31757976.11,0.922350168,31848369.33,0.924975467,0.001161894,0.001257388,0.001351322
05.08.2015,34952393.35,32256661.09,0.922874172,32350633.83,0.925562765,0.0152705,0.016429539,0.016495301
06.08.2015,34652493.04,31953705.66,0.922118522,32049352.27,0.924878687,-0.008753808,-0.009371754,-0.00929279
07.08.2015,34463269.88,31759921.63,0.921558568,31855397.69,0.924328939,-0.005381099,-0.005782191,-0.005770257
10.08.2015,34693382.76,32111175.65,0.925570616,32211762.14,0.928469915,0.010535905,0.011453528,0.011579626
11.08.2015,33963170.46,31392512.65,0.924310429,31494688.78,0.927318868,-0.021092606,-0.022707045,-0.022586789
12.08.2015,33384358.28,30794150.95,0.922412547,30897856.8,0.925518967,-0.01763872,-0.018922115,-0.018812156
13.08.2015,33561769.99,30948811.87,0.922144806,31054197.87,0.925284867,0.005236968,0.005619696,0.005655211
14.08.2015,33610346.61,31015732.85,0.922803124,31122947.19,0.925993045,0.002260962,0.002413915,0.002464598
17.08.2015,33733240.2,31128108.31,0.922772557,31240830.13,0.926114122,0.003648483,0.003904821,0.004068328
18.08.2015,33520940.95,31091991.07,0.927539329,31206363.21,0.93095129,-0.000976461,-0.001153948,-0.001096958
19.08.2015,32300700.84,30510022.24,0.944562237,30625871,0.948148808,-0.017622189,-0.0189609,-0.01884409
20.08.2015,31447287.08,29684224.94,0.943935954,29801624.66,0.947669177,-0.026383292,-0.027717867,-0.027562376
21.08.2015,30357545.3,28612123.45,0.942504513,28733903.74,0.946516046,-0.034734392,-0.036647666,-0.036356306
24.08.2015,28762482.85,27069778.21,0.941148869,27195910.25,0.945534167,-0.052434782,-0.055304072,-0.054918232
25.08.2015,29296225.2,27590521.67,0.941777362,27720190.86,0.946203502,0.018400209,0.019360526,0.019400795
26.08.2015,29541585.42,27786669.94,0.940595081,27917777.7,0.945033156,0.007706153,0.008269594,0.008282807
27.08.2015,30722425.72,28935337.93,0.941831162,29068203.22,0.946155863,0.040048912,0.042399112,0.04226295
28.08.2015,30863753.1,29075035.05,0.942044701,29209417.65,0.946398759,0.004629363,0.004926339,0.004956019
31.08.2015,30808580.4,29023708.56,0.942065755,29162709.85,0.946577527,-0.001520709,-0.001639674,-0.001474007
