Date,NAV,Futures,Securities,FxPnL,PayableFees,AccruedFees,AUD Curncy,BRL Curncy,CHF Curncy,CNH Curncy,CNY Curncy,EUR Curncy,GBP Curncy,MXN Curncy,NOK Curncy,USD Curncy,ZAR Curncy,PaidFees,.TAX_EUR LX Equity,TotalFees,Cash
2016-05-30,42946393.16,-3613764.02,40019627.41,65421.93,52406.17,-56104.83,0,0,0,2200.38,0,1792375.29,93307.43,0,0,1057954.66,0,0,0,-3698.66,2861343.82000001
2016-05-31,42969860.78,-3614972.97,39044066.14,58166.62,52398.07,-57475.53,0,0,0,2200.38,0,1894814.77,255914.76,0,0,1829065.18,0,0,0,-5077.46,3867628.02
2016-06-01,42842631.46,-3608571.77,38926458.79,159044.4,10800.51,-17347.55,0,0,0,2200.38,0,1794373.24,255914.76,0,0,1831033.93,0,0,0,-6547.04,3757128.27000001
2016-06-02,41070984.14,-3614656.27,38341653.74,127495.45,10792.41,-18613.12,0,0,0,2200.38,0,-108655.32,255914.76,0,0,2663591.12,0,0,0,-7820.71,2601834.95
2016-06-03,41089502.88,-5341952.35,38025755.34,497556.21,10784.36,-20030.07,0,0,0,2200.38,0,-100410.92,255914.76,0,0,2660539.99,0,0,0,-9245.71,2566191.32999999
2016-06-06,41134142.34,-5332740.67,37296079.42,568935.34,10760.16,-24302.41,0,0,0,2200.38,0,208059.08,255914.76,0,0,3124267.23,0,0,0,-13542.25,3269127.58
2016-06-07,40910640.1,-5339161.01,37324858.67,535437.8,10752.1,-25680.57,0,0,0,2200.38,0,298675.08,255914.76,0,0,2768485.35,0,0,0,-14928.47,3050343.63
2016-06-08,40966362.09,-5330006.64,37316278.57,608851.22,10744.05,-27089.73,0,0,0,2200.38,0,298675.08,255914.76,0,0,2770542.16,0,0,0,-16345.68,3041232.3
2016-06-09,41017090.97,-5349070.16,37247798.91,486056.05,10735.99,-28499.98,83659.91,0,0,2200.38,0,297575.08,255914.76,0,0,2968692.7,0,0,0,-17763.99,3283236.01
2016-06-10,41001503.58,-5364326.97,37557727.41,443407.06,10727.9,-29908.09,83659.91,0,0,2200.38,0,197218.08,255914.76,0,0,2759531.74,0,0,0,-19180.19,3000369.10999999
2016-06-13,40921159.37,-5368473.36,37480328.99,451442.9,10703.63,-34147.26,83659.91,0,0,2200.38,0,196778.08,255914.76,0,0,2754609.87,0,0,0,-23443.63,2989387.48
2016-06-14,40848999.42,-5394254.25,37556100.68,289606.02,10695.54,-35542.19,83659.91,0,0,2200.38,0,191050.77,255914.76,0,0,2757325.85,0,0,0,-24846.65,3003292.71999999
2016-06-15,40836880.95,-6218546.67,37706671.11,9300.43,10687.44,-36946.95,83659.91,0,0,2200.38,0,491127.89,255914.76,0,0,2558467.43,0,0,0,-26259.51,3120909.41
2016-06-16,40842757.11,-6252424.05,38314375.99,-153336.55,10679.35,-38350.22,83659.91,0,0,2200.38,0,231200.73,255914.76,0,0,2340882.01,0,0,0,-27670.87,2681717.66999999
2016-06-17,40806583.44,-6211790.97,38107205.72,25258.94,10671.26,-39753.28,83659.91,0,0,2200.38,0,231200.73,255914.76,0,0,2352694.51,0,0,0,-29082.02,2674118.78000001
2016-06-20,40869239.05,-6171515.07,38127212.62,159103.52,10646.99,-43997.68,83659.91,0,0,2200.38,0,143907.37,255914.76,0,0,2364069.51,0,0,0,-33350.69,2582922.91
2016-06-21,40967578.26,-6185480.25,39099745.93,33782.41,50781.64,-45414.54,83659.91,0,0,2200.38,0,2043.39,255914.76,0,0,1620604.51,0,0,0,5367.1,1834049.92000001
2016-06-22,40993192.54,-6182647.89,39163161.03,52352.76,50773.56,-46828.6,83659.91,0,0,2200.38,0,4021.74,44831.43,0,0,1867706.07,0,0,0,3944.96,1777678.75
2016-06-24,40936680.95,-5437679.64,39435139.24,-166330.16,50757.4,-49638.02,83659.91,0,0,2200.38,0,395191.45,44831.43,0,0,1289297.61,0,0,0,1119.38,1667871.86999999
2016-06-27,40840245.29,-5486803.92,39596343.43,-466032.3,50733.11,-53859.4,83659.91,0,0,2200.38,0,201930.82,44831.43,0,0,1537877.47,0,0,0,-3126.29000000001,1709934.16
2016-06-28,41456610.01,-5471438.36,39480628.02,-309798.78,46826.66,-55371.01,83659.91,0,0,2200.38,0,791998.82,44831.43,0,0,1538533.72,0,0,0,-8544.35000000001,2285780.77
2016-06-29,41590514.62,-2516718.45,39759698.46,-198603.3,46818.56,-56827.27,83659.91,0,0,2200.38,0,700509.29,44831.43,0,0,1363425.66,0,0,0,-10008.71,2029419.46
2016-06-30,41654510.92,-2513769.19,39820255.62,-191393.52,46810.46,-58273.95,83659.91,0,0,2200.38,0,600945.45,44831.43,0,0,1472955.18,0,0,0,-11463.49,2025648.82
2016-07-01,41710373.99,-2510456.91,39997450.4,-150571.18,2509.75,-15416.7,83659.91,0,0,2200.38,0,1209918.06,44831.43,0,0,619536.84,0,0,0,-12906.95,1863494.77
2016-07-04,41304692.63,-2509217.18,40043828.78,-141331.58,5443.89,-19726.23,83659.91,0,0,2200.38,0,749770.98,44831.43,0,0,619536.84,0,0,0,-14282.34,1402195.42999999
2016-07-05,41254216.94,-2531013.71,39565469.17,-206601.31,5435.8,-21110.74,83659.91,0,0,2200.38,0,812749.83,44831.43,0,0,1098762.88,0,0,0,-15674.94,1895349.08
2016-07-06,41231853.78,-2535437.28,39618488.51,-287943.93,5427.7,-22527.93,83659.91,0,0,2200.38,0,812749.83,44831.43,0,0,1103356.63,0,0,0,-17100.23,1901309.2
2016-07-07,41509717.32,-2535504.63,39471651.03,-285146.01,5419.6,-23961.01,83659.91,0,0,2200.38,0,1047744.81,44831.43,0,0,1311753.5,0,0,0,-18541.41,2323212.3
2016-07-08,41478511.79,-2546317.8,39665779.2,-361924.58,5411.51,-25389.32,83659.91,0,0,2200.38,0,897744.79,44831.43,0,0,1309456.63,0,0,0,-19977.81,2174657.17
2016-07-11,41583517.28,-2531487.64,39658513.31,-340145.25,5387.25,-29674.12,83659.91,0,0,2200.38,0,981667.34,44831.43,0,0,1322909.75,0,0,0,-24286.87,2265149.22
2016-07-12,41402373.91,-2513960.1,40191331.12,-286274.03,5379.17,-31094.77,83659.91,0,0,2200.38,0,204169.41,144831.43,0,0,1204882.88,0,0,0,-25715.6,1497316.82000001
2016-07-13,41464153.16,-2512172.41,39876617.49,-217674.02,5371.09,-32521.64,83659.91,0,0,2200.38,0,522906.91,144831.43,0,0,1198320.38,0,0,0,-27150.55,1805209.69
2016-07-15,41529518.74,-2501580.78,39001242.31,-284254.17,5354.93,-35377.12,83659.91,0,0,2200.38,0,1274704.77,144831.43,0,0,1480231.3,0,0,0,-30022.19,2812530.6
2016-07-18,41536661.7,-2505676.43,39017316.04,-294220.44,5330.7,-39657.41,83659.91,0,0,2200.38,0,1275032.87,144831.43,0,0,1484291.21,0,0,0,-34326.71,2813566.1
2016-07-19,41545784.48,-2521837.97,39143085.15,-410621.96,5322.62,-41086.75,83659.91,0,0,2200.38,0,1275032.87,144831.43,0,0,1480025.59,0,0,0,-35764.13,2813321.29
2016-07-20,41570476.28,-2517527.48,39251274.89,-413398.87,5314.54,-42518.03,83659.91,0,0,2200.38,0,963456.06,144831.43,0,0,1734880.1,0,0,0,-37203.49,2732600.25999999
2016-07-21,41610827.19,-2524933.52,39317340.39,-435429.84,5306.48,-43951,83659.91,0,0,2200.38,0,963456.06,144831.43,0,0,1729630.1,0,0,0,-38644.52,2728916.64
2016-07-22,41474846.01,-2527556.37,38756934.13,-484446.06,39098.76,-45372.39,83659.91,0,0,2200.38,0,1302474.38,144831.43,0,0,1840360.3,0,0,0,-6273.63000000001,3202357.94
2016-07-25,41488159.4,-2527166.48,38683800.02,-491924.5,39074.53,-49650.91,83659.91,0,0,2200.38,0,1302474.38,144831.43,0,0,1946776.69,0,0,0,-10576.38,3296283.88
2016-07-26,41458352.79,-2525945.65,38627316.04,-471931.41,39066.47,-51074.53,83659.91,0,0,2200.38,0,1302474.38,144831.43,0,0,1957464.19,0,0,0,-12008.06,3302968.15999999
2016-07-27,41464734.17,-2532858.07,38159153.51,-462725.71,39058.41,-52499.93,83659.91,0,0,2200.38,0,1302474.38,144831.43,0,0,2471848.57,0,0,0,-13441.52,3768306.37
2016-07-28,41396792.76,-2511672.76,37921867.96,-274467.77,39050.35,-53919.79,83659.91,0,0,2200.38,0,1302474.38,144831.43,0,0,2475270.44,0,0,0,-14869.44,3749392.57
2016-07-29,41358672.04,-2498532.87,37713171.55,-72496.66,43356.16,-55339.57,83659.91,0,0,2200.38,0,1296439.85,144831.43,0,0,2465098.57,0,0,0,-11983.41,3717997.14999999
2016-08-01,41406438.8,-2496293.59,37756989.34,-100021.25,2397.54,-18564.15,83659.91,0,0,2200.38,0,1296439.85,151456.43,0,0,2494923.57,0,0,0,-16166.61,3749470.70999999
2016-08-02,41363051.79,-2479939.75,37608360.73,6858.34,2389.48,-19984.69,83659.91,0,0,2200.38,0,1296439.85,151456.43,0,0,2505548.57,0,0,0,-17595.21,3747832.72
2016-08-03,41370532.94,-3678440.78,37706687.18,-92776.3,2216.44,-21407.89,83659.91,0,0,2200.38,0,1296664.84,151456.43,0,0,2504408.57,0,0,0,-19191.45,3756622.06
2016-08-04,41168166.41,-3700271.02,37827064.32,-171161.17,2208.36,-22815.1,83659.91,0,0,2200.38,0,1058853.34,151456.43,0,0,2492782.07,0,0,0,-20606.74,3512263.26
2016-08-05,41279088.44,-3700247.85,38041499.91,-310138.29,2200.28,-24238.17,83659.91,0,0,2200.38,0,1058853.34,151456.43,0,0,2517969.57,0,0,0,-22037.89,3547726.82
2016-08-08,41332933.8,-3696287.08,38093353.27,-305602.41,2176.08,-28611.46,83659.91,0,0,2200.38,0,1058853.34,151456.43,0,0,2520875.82,0,0,0,-26435.38,3545182.93999999
2016-08-09,41353610.91,-3692095.26,38061346.46,-234239.36,2168.02,-30036.9,83659.91,0,0,2200.38,0,1058853.34,151456.43,0,0,2511672.69,0,0,0,-27868.88,3526503.81
2016-08-10,41368221.97,-3686075.1,37812277.89,-133490.15,37379.96,-31462.55,83659.91,0,0,2200.38,0,1023366.22,151456.43,0,0,2707537.49,0,0,0,5917.41,3689434.23
2016-08-11,41385303.44,-3661898.4,37600763.25,-106146.47,37371.9,-32889.41,83659.91,0,0,2200.38,0,1023366.22,151456.43,0,0,2938955.55,0,0,0,4482.48999999999,3890686.66
2016-08-12,41410692.73,-3675166.61,37884839.04,-107607.34,37363.84,-34317.33,83659.91,0,0,2200.38,0,875692.3,151456.43,0,0,2818924.64,0,0,0,3046.50999999999,3633461.03000001
2016-08-16,41441011.94,-4135421.28,38249256.79,49328.9,37331.54,-40021.18,83659.91,0,0,2200.38,0,660020.34,59410.6,0,0,2656616.67,0,0,0,-2689.64000000001,3142426.25000001
2016-08-17,41422213.25,-5201144.4,38703238.36,79535.71,37323.48,-41447.27,83659.91,0,0,2200.38,0,-109908.56,59410.6,0,0,2963165.33,0,0,0,-4123.79,2639439.18
2016-08-18,41427503.17,-5192163.24,38629716.85,182542.63,37315.42,-42875.7,83659.91,0,0,2200.38,0,-112596.84,59410.6,0,0,2953633.81,0,0,0,-5560.28,2615243.68999999
2016-08-19,41415698.16,-5179961.49,38615024.05,170064.21,37307.36,-44301.16,83659.91,0,0,2200.38,0,-111496.84,59410.6,0,0,2971555.69,0,0,0,-6993.80000000001,2630609.9
